Diversified Borrowings,,,
Timeline,SCB Borrowings (purple bar) in Rs Mn,Refinance ( orange bar) in RS Mn,NCDs (yellow bar) in Rs Mn
FY19,27188,0,499
FY20,25321,1500,1545
FY21,26312,6741,4635
FY22,38128,4331,5625
FY23,61855,4386,8872
