Exhibit 14: TRIV has made a healthy foray into Service,,
Timeline,Service revenue in INR m (light voilet bar),As a % of sales (black line)
2017,742,9.7
2018,829,11
2019,862,10.3
2020,817,10
2021,756,10.8
2022,922,10.8
2023,2666,21.4
