LPG transmission segment EBIT to remain steady,,
,LPG trans EBIT in INR b (purple bars),LPG trans vol in mmt (black line)
FY19,3,4
FY20,3.3,3.9
FY21,3.5,4.2
FY22,3.4,4.2
FY23,3.7,4.3
FY24E,3.4,4.4
FY25E,3.4,4.4
FY26E,3.4,4.5
