Share performance of the company in comparison to BSE Sensex,,
timeline,BSE Sensex High (Black line),MFL High Price ( blue line)
Apr-22,60800,1550
May-22,57300,1490
Jun-22,56500,1590
Jul-22,57800,1630
Aug-22,60600,1560
Sep-22,60700,1750
Oct-22,60800,1700
Nov-22,63300,1350
Dec-22,63500,1290
Jan-23,61500,1230
Feb-23,61600,1080
Mar-23,60600,1020
